40,32,24,24,16,24,24,32,32,32,24,24,24,24,24,32,40,80,112,152,184,208,232,232,224,216,208,208,208,208,200,200,200,184,160,128,88,72,48,40,24,24,24,32,32,40,40,48,48,48,48,72,96,136,176,184,192,184,168,176,184,192,200,200,192,184,176,184,184,192,200,192,176,144,112,88,56,40,24,24,24,32,32,32,32,40,40,48,48,48,48,48,40,40,40,56,72,120,160,192,216,232,240,232,224,224,224,232,232,240,240,240,240,240,232,232,224,216,208,184,152,104,56,48,32,40,48,64,72,64,56,56,56,56,48,48,48,48,40,40,32,32,32,56,72,120,160,192,216,232,248,240,232,232,232,232,232,232,224,216,200,192,184,168,144,112,80,56,32,40,40,48,56,56,56,56,48,48,48,40,32,32,32,32,32,40,48,56,56,64,64,64,64,56,48,48,40,40,40,48,48,56,56,56,56,64,64,56,48,48,48,48,48,56,56,64,64,64,56,56,48,48,48,48,40,40,40,40,40,32,24,24,24,24,16,16,8,16,24,48,64,104,144,176,200,216,232,240,240,240,240,240,232,216,200,200
56,40,24,24,24,32,32,32,32,32,24,24,24,32,32,48,56,96,128,160,192,216,232,232,232,224,208,208,208,200,200,192,184,160,144,112,80,64,48,40,24,24,24,32,32,40,40,48,48,48,48,72,88,128,168,184,192,184,176,176,184,184,192,184,184,184,176,192,200,208,208,200,184,144,112,88,56,48,32,32,24,32,40,40,40,48,48,48,48,48,48,40,40,40,48,72,88,136,176,200,224,232,240,232,224,224,224,224,232,232,232,232,232,232,224,224,224,216,208,184,160,120,72,56,40,40,48,56,64,64,56,56,48,48,48,48,48,48,40,40,32,40,40,72,96,136,176,200,224,240,248,248,240,240,240,240,240,232,232,216,208,192,184,168,152,120,80,56,32,32,40,48,56,56,56,48,48,48,40,40,32,32,32,40,40,48,56,56,56,64,64,56,56,48,48,40,40,40,40,48,48,56,56,64,64,64,64,56,48,48,48,48,48,48,48,56,64,64,56,56,48,48,48,40,40,40,40,40,40,40,32,32,24,24,16,16,16,32,40,64,88,128,168,192,216,232,240,248,248,248,248,240,240,232,216,216
64,48,24,32,32,32,32,32,32,32,24,24,24,32,32,56,72,104,136,168,200,216,224,232,232,224,208,208,200,200,192,176,160,144,120,96,72,56,40,32,24,24,24,32,32,40,40,48,48,48,48,64,80,120,160,176,184,184,176,176,176,176,176,176,168,176,176,192,208,216,216,200,184,144,104,80,56,48,32,32,24,32,40,48,48,48,48,48,48,48,40,40,32,40,48,80,104,144,184,208,232,232,232,224,216,216,216,224,224,224,224,224,216,216,216,216,216,216,208,192,168,128,88,64,40,40,40,48,48,56,56,48,40,40,40,40,40,40,40,40,32,40,48,88,120,160,192,216,232,240,248,248,240,240,240,240,240,240,232,224,208,192,176,168,152,120,80,56,24,32,32,40,48,48,48,48,40,40,32,32,24,32,32,40,40,48,56,56,56,56,56,48,40,40,40,40,32,40,40,48,48,56,56,64,64,64,64,56,48,48,48,48,48,48,40,48,56,56,56,56,48,48,40,40,32,40,40,40,40,40,32,32,24,24,16,24,24,40,48,80,112,152,192,216,232,240,248,248,248,248,248,248,240,240,232,232
40,40,32,40,40,40,40,32,32,24,24,24,24,32,40,72,96,128,160,184,208,216,224,224,224,216,208,200,192,184,168,152,136,120,96,80,64,48,40,32,32,32,32,32,40,40,40,48,48,48,48,64,72,112,152,168,184,184,184,184,184,176,176,176,176,184,192,208,216,216,208,192,168,136,96,72,48,40,32,32,32,32,40,40,40,48,48,48,48,40,40,40,32,48,56,88,120,152,192,216,232,232,224,216,208,216,216,224,224,224,216,208,208,208,200,208,208,208,208,192,176,136,96,72,40,40,40,40,48,48,48,48,40,40,40,40,40,40,40,40,32,48,56,96,136,168,200,224,240,248,248,248,248,248,248,248,248,240,240,224,216,200,192,176,160,128,96,64,40,40,32,40,48,56,56,48,48,48,40,40,32,32,40,40,48,48,56,48,48,48,40,40,32,40,40,40,40,48,48,56,56,56,56,64,64,64,56,56,48,48,48,48,48,48,48,48,56,56,64,56,56,48,40,40,40,40,48,48,48,48,40,32,32,24,24,24,32,48,64,96,136,168,200,224,240,248,248,248,248,248,248,248,248,240,232,232
16,24,32,40,48,48,40,32,24,24,16,24,24,40,48,80,112,144,176,200,216,216,216,216,216,208,200,192,176,160,144,128,104,88,72,64,48,40,32,32,32,32,32,40,40,40,40,40,40,48,48,56,64,104,136,160,176,184,184,184,184,176,168,176,176,192,200,216,224,216,200,176,152,120,88,64,40,32,24,32,32,32,32,32,32,40,40,40,40,40,32,32,32,48,56,96,128,160,192,216,232,224,216,208,200,208,216,224,224,216,200,200,192,192,184,192,200,200,200,192,184,144,104,72,40,40,32,40,40,40,40,40,32,32,32,32,32,32,32,32,32,48,64,104,144,176,208,224,240,248,248,248,248,248,248,248,248,248,240,232,216,208,200,184,168,136,104,80,48,40,32,40,48,56,56,56,48,48,48,40,32,40,40,48,48,48,48,40,32,32,24,24,24,32,32,40,40,48,56,64,64,64,56,56,56,56,48,48,48,48,48,48,40,48,48,48,48,56,64,64,56,48,40,40,40,48,48,56,56,48,40,40,32,32,24,32,32,56,72,112,152,184,208,232,248,248,248,248,240,248,248,248,248,240,232,232
24,32,40,48,56,48,40,32,24,24,16,24,32,56,80,112,144,176,200,208,216,216,216,216,208,200,192,176,160,144,128,112,88,80,64,56,40,40,32,32,32,32,32,40,40,40,40,40,40,40,48,56,64,96,128,144,168,176,184,184,184,184,176,184,192,200,216,216,216,200,184,160,128,104,72,56,32,32,24,32,32,32,32,32,32,40,40,40,40,32,32,32,32,48,64,96,136,168,200,216,224,216,208,208,200,208,216,224,224,216,200,200,192,192,184,192,192,192,192,184,176,136,96,72,40,40,32,40,40,40,40,40,40,40,40,40,32,32,32,40,40,56,72,112,152,184,216,232,248,248,248,248,248,248,248,248,248,248,248,240,224,216,208,200,184,160,128,96,56,48,40,48,48,56,56,56,56,56,48,48,40,40,48,48,48,48,40,32,24,24,24,32,32,48,56,64,80,88,104,96,88,80,64,56,48,48,40,40,40,40,40,48,48,48,48,56,56,64,64,64,56,48,40,40,40,48,48,56,56,56,48,48,40,40,32,40,40,72,96,136,168,200,224,240,248,248,240,240,240,240,240,240,240,240,232,232
32,40,48,56,56,48,32,24,16,16,16,32,40,80,112,144,176,200,216,216,216,216,216,208,200,192,184,168,144,128,104,88,72,64,48,40,32,32,24,32,32,32,32,32,32,32,32,32,32,40,40,48,56,88,112,136,152,168,184,184,184,184,184,192,200,216,224,216,208,192,168,136,104,80,48,40,24,24,24,32,32,32,32,32,32,32,32,32,32,32,24,32,32,48,64,104,136,168,200,208,216,208,200,200,200,208,216,224,224,216,200,192,184,184,184,184,184,184,184,176,168,128,88,64,40,40,32,40,40,40,40,40,40,40,40,40,32,32,32,40,40,64,80,120,160,192,216,232,248,248,248,248,248,248,248,248,248,248,248,240,232,224,216,208,200,176,144,104,64,56,40,48,48,48,48,56,56,56,48,48,40,48,48,48,48,40,24,24,16,16,16,32,40,56,72,96,112,128,144,128,112,96,72,56,40,40,32,32,32,32,32,40,48,48,48,56,64,64,64,64,56,48,40,40,40,40,40,48,56,56,56,56,48,48,40,48,48,80,112,152,184,208,232,240,248,240,232,232,232,232,232,232,232,232,232,232
40,48,48,56,56,40,32,24,16,24,24,48,64,104,144,168,192,208,216,216,216,216,208,208,200,192,184,160,144,120,96,80,56,48,40,40,32,32,24,32,32,32,32,32,32,32,32,32,32,40,40,48,56,80,96,120,144,168,184,184,192,192,192,200,200,208,208,200,184,160,144,112,88,64,48,40,32,32,32,32,32,32,32,32,32,32,32,32,32,32,24,32,32,48,56,96,136,168,200,208,208,208,200,208,208,216,216,224,224,216,200,200,192,192,192,192,192,192,184,176,160,128,88,64,40,40,32,40,48,48,48,48,48,48,48,48,40,40,40,40,48,64,80,120,160,192,216,232,248,248,248,248,248,248,248,248,248,248,248,240,232,232,224,216,208,184,152,112,72,56,48,48,48,48,48,48,48,48,48,40,40,40,48,48,40,32,24,24,16,24,32,64,88,112,128,152,168,168,176,160,144,128,104,88,64,56,48,40,32,32,32,40,48,48,48,56,64,64,64,64,56,48,40,40,40,40,40,48,56,56,56,56,56,48,48,56,56,88,120,160,192,216,232,240,240,240,232,232,232,232,232,232,232,232,232,232
48,48,48,48,48,40,24,24,16,24,32,64,88,136,176,192,200,208,216,216,208,208,200,200,192,184,176,160,136,112,80,64,40,40,32,32,32,32,24,24,24,24,24,24,24,32,32,32,32,32,32,40,48,64,80,112,136,160,176,184,192,192,192,200,200,200,192,176,152,136,112,88,64,56,40,40,32,32,32,32,32,32,32,32,32,32,32,32,32,32,24,24,24,40,48,88,128,168,200,200,200,200,200,208,208,216,216,216,216,208,200,200,200,200,200,200,200,192,184,168,152,120,80,64,40,40,32,40,48,48,48,48,48,48,48,48,48,48,40,48,48,64,80,120,160,192,216,232,248,248,248,248,248,248,248,248,248,248,248,240,232,232,232,224,216,184,152,112,72,64,48,48,40,40,40,40,40,40,40,40,32,40,40,40,32,24,16,16,16,32,48,88,128,160,184,200,216,208,200,192,176,160,136,112,88,72,56,48,32,32,32,40,48,48,48,56,56,64,64,56,48,48,40,40,32,40,40,48,48,56,56,56,56,56,48,56,64,96,128,168,200,216,232,232,232,232,232,232,232,232,232,232,232,232,232,232
48,48,48,48,40,40,32,32,24,40,48,80,112,152,184,192,200,208,216,216,216,208,208,200,200,192,184,152,128,104,72,56,32,32,32,32,32,32,32,32,24,24,24,24,24,32,40,40,40,40,40,48,48,64,80,96,120,136,152,160,168,176,176,176,176,168,160,144,120,104,88,72,48,40,32,32,32,32,32,32,32,32,32,40,40,40,40,40,40,32,32,32,24,48,64,104,144,176,200,200,200,208,208,216,216,216,216,216,216,216,208,216,216,216,216,216,208,200,192,176,152,120,88,64,40,32,32,40,48,48,48,48,40,48,48,48,48,48,48,48,48,64,80,120,160,184,216,232,248,248,248,248,248,248,248,248,248,248,248,240,232,232,232,224,208,168,128,96,56,48,40,40,32,32,32,40,40,40,40,40,32,40,40,40,32,24,16,24,32,64,88,128,160,184,208,216,224,216,208,208,200,184,168,152,136,112,88,72,48,40,32,40,48,48,48,48,48,56,56,48,48,48,40,40,40,40,48,48,48,56,56,56,56,56,48,64,72,104,144,176,208,216,232,232,224,232,232,232,232,232,232,232,232,232,224,224
